orderid,buyer_userid,seller_userid,userid_x,device_x,dupe_x,userid_y,device_y,dupe_y,dlink
1955598428,35545436,70763052,35545436.0,/3TLpeou8xXsNxpACFFKr34Kqqwxiu5Hi1keJ6plk5E=,True,70763052.0,/3TLpeou8xXsNxpACFFKr34Kqqwxiu5Hi1keJ6plk5E=,True,1
1954515646,32834366,188151804,32834366.0,1KNEOFRIZaFcFx5+S+bOxyWuWBbITxnfoM7j6aZg05y=,True,188151804.0,1KNEOFRIZaFcFx5+S+bOxyWuWBbITxnfoM7j6aZg05y=,True,1
1953728724,168491444,158559422,168491444.0,yf7AHm3O97XAQwQuSmyoaxcaFSSAZcVCxm5YNgiEo4S=,True,158559422.0,yf7AHm3O97XAQwQuSmyoaxcaFSSAZcVCxm5YNgiEo4S=,True,1
1956165008,29689348,231810424,29689348.0,bGvR9cey+rry1FhUJrRw9djRmT9BtJlGu/vM8dbUQU0=,True,231810424.0,bGvR9cey+rry1FhUJrRw9djRmT9BtJlGu/vM8dbUQU0=,True,1
1954558468,235452908,235460800,235452908.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,235460800.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,1
1954261092,90399362,130818698,90399362.0,xRZq1B9kJ0Jq8m0fFO0sWBBjrXP9aeebaEUKkc799Ng=,True,130818698.0,xRZq1B9kJ0Jq8m0fFO0sWBBjrXP9aeebaEUKkc799Ng=,True,1
1953962424,63073454,8072632,63073454.0,sJFkdNSvONLNiKdVNP7jzeN0RdMYTgjmN+c7qXKXCrm=,True,8072632.0,sJFkdNSvONLNiKdVNP7jzeN0RdMYTgjmN+c7qXKXCrm=,True,1
1955114938,232793674,205139842,232793674.0,wravSe6XsxypAZzVSyBgLm/JgBTK91AiZpv/pynuThq=,True,205139842.0,wravSe6XsxypAZzVSyBgLm/JgBTK91AiZpv/pynuThq=,True,1
1956151844,208704224,43388456,208704224.0,g7UYRTExanhu9sO/AL79ARC/8hLADmEEEC2BA3gEtfm=,True,43388456.0,g7UYRTExanhu9sO/AL79ARC/8hLADmEEEC2BA3gEtfm=,True,1
1956151844,208704224,43388456,208704224.0,yadnCfqTirdFdFQAavNhdeKXq1Hd1trS2iEpErgl+1u=,True,43388456.0,yadnCfqTirdFdFQAavNhdeKXq1Hd1trS2iEpErgl+1u=,True,1
1954149772,235401354,78406452,235401354.0,I+k4DvsfF9aqEBUyQxANm67vluA83e5iRaQBC5+X/O4=,True,78406452.0,I+k4DvsfF9aqEBUyQxANm67vluA83e5iRaQBC5+X/O4=,True,1
1954289302,155985518,133103872,155985518.0,mXMinTptrdP3oRZVouadvY8pFTEnc59iXSa1NQ7N7O8=,True,133103872.0,mXMinTptrdP3oRZVouadvY8pFTEnc59iXSa1NQ7N7O8=,True,1
1954444640,225046494,146326266,225046494.0,LjnbFkM0GfkFCYcU2MFKtcUYqvFmzIlWrA+Bd1riwqO=,True,146326266.0,LjnbFkM0GfkFCYcU2MFKtcUYqvFmzIlWrA+Bd1riwqO=,True,1
1954648352,207471076,233033146,207471076.0,4qivjMuy3bVhCNw33/09Gr0vmsDuGpJbsPdL05LTAUI=,True,233033146.0,4qivjMuy3bVhCNw33/09Gr0vmsDuGpJbsPdL05LTAUI=,True,1
1954967186,162935966,143445188,162935966.0,GqT/PtuVhax9BZvxIhyEEklE7b4zD+cUL4G6qfs8wRW=,True,143445188.0,GqT/PtuVhax9BZvxIhyEEklE7b4zD+cUL4G6qfs8wRW=,True,1
1954989492,60669780,221570004,60669780.0,hheDODX/TsKcZO3xniOUwKQBqvwBHhbzcNV8MmXCWWu=,True,221570004.0,hheDODX/TsKcZO3xniOUwKQBqvwBHhbzcNV8MmXCWWu=,True,1
1954989492,60669780,221570004,60669780.0,x2piJPZrijgmBPJsLRVEFx1JbDBEkuPtfbHMEOs0HI8=,True,221570004.0,x2piJPZrijgmBPJsLRVEFx1JbDBEkuPtfbHMEOs0HI8=,True,1
1954576356,235457118,235460800,235457118.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,235460800.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,1
1955386150,202239374,62565874,202239374.0,+vz8LZ++stV+8QH3Ny7beSe8zyalsdiY05nlztJTTcW=,True,62565874.0,+vz8LZ++stV+8QH3Ny7beSe8zyalsdiY05nlztJTTcW=,True,1
1954161438,155985518,133103872,155985518.0,mXMinTptrdP3oRZVouadvY8pFTEnc59iXSa1NQ7N7O8=,True,133103872.0,mXMinTptrdP3oRZVouadvY8pFTEnc59iXSa1NQ7N7O8=,True,1
1954169068,235427122,74415764,235427122.0,AIbrGCRLCb972AcMj2Vj6lq6r9edtR/7qGBl9RylFuS=,True,74415764.0,AIbrGCRLCb972AcMj2Vj6lq6r9edtR/7qGBl9RylFuS=,True,1
1954169068,235427122,74415764,235427122.0,WmokHkm7E5RX/qVYDGV3TK9dB6TWLN8qXnkPNZgKf80=,True,74415764.0,WmokHkm7E5RX/qVYDGV3TK9dB6TWLN8qXnkPNZgKf80=,True,1
1954169068,235427122,74415764,235427122.0,pwCnZDUJzBeVMZUbAZLuqfGPBbtZpf9ywd7ZJueWhkI=,True,74415764.0,pwCnZDUJzBeVMZUbAZLuqfGPBbtZpf9ywd7ZJueWhkI=,True,1
1953549526,232120652,58698900,232120652.0,p02RjAO69Y8cRdnhi178eSoWwjLf66lxdyKGGq4F3gO=,True,58698900.0,p02RjAO69Y8cRdnhi178eSoWwjLf66lxdyKGGq4F3gO=,True,1
1954992372,4437214,154680340,4437214.0,OR7MqRap27i4DBeLH9+feaN0uzmvF5RQchBAdoHi7cO=,True,154680340.0,OR7MqRap27i4DBeLH9+feaN0uzmvF5RQchBAdoHi7cO=,True,1
1954286324,10387534,153448536,10387534.0,xXKL44jdl+FTp2plc7YwMFZJRykbEPGGgLLyziWpL9y=,True,153448536.0,xXKL44jdl+FTp2plc7YwMFZJRykbEPGGgLLyziWpL9y=,True,1
1955252130,100918044,68742042,100918044.0,NTx6kOhzZHaCHnujoP21JDOqUoBs6xoQ0HYhav4J0H0=,True,68742042.0,NTx6kOhzZHaCHnujoP21JDOqUoBs6xoQ0HYhav4J0H0=,True,1
1955599578,231969018,82871324,231969018.0,yd/ORzwthvj8EkTkrEUZOhB8W3K+uKeyCiz6j4M64iS=,True,82871324.0,yd/ORzwthvj8EkTkrEUZOhB8W3K+uKeyCiz6j4M64iS=,True,1
1956515036,4437214,154680340,4437214.0,OR7MqRap27i4DBeLH9+feaN0uzmvF5RQchBAdoHi7cO=,True,154680340.0,OR7MqRap27i4DBeLH9+feaN0uzmvF5RQchBAdoHi7cO=,True,1
1954560924,235452908,235460800,235452908.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,235460800.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,1
1955065028,51392336,22628554,51392336.0,xBEG92HJf0jR5RWmITgGKiHNLUH56cAlHLG+dimTSRW=,True,22628554.0,xBEG92HJf0jR5RWmITgGKiHNLUH56cAlHLG+dimTSRW=,True,1
1955780686,186778338,100942366,186778338.0,lsCzh0eTG9Y75i/UFLJiiq6cbghKjlUon7/Gdl61WmA=,True,100942366.0,lsCzh0eTG9Y75i/UFLJiiq6cbghKjlUon7/Gdl61WmA=,True,1
1953890506,4748430,21964656,4748430.0,FiPsPAWoP1O8Jqy1hZx+aWMT+c2ml/B1D1I0FUws9OE=,True,21964656.0,FiPsPAWoP1O8Jqy1hZx+aWMT+c2ml/B1D1I0FUws9OE=,True,1
1954307678,162360172,64897430,162360172.0,RauiPD8OUsAZ5o+4pMHR95A/QO9Rd8YFxEa1Ux71xTy=,True,64897430.0,RauiPD8OUsAZ5o+4pMHR95A/QO9Rd8YFxEa1Ux71xTy=,True,1
1954900170,155985518,133103872,155985518.0,mXMinTptrdP3oRZVouadvY8pFTEnc59iXSa1NQ7N7O8=,True,133103872.0,mXMinTptrdP3oRZVouadvY8pFTEnc59iXSa1NQ7N7O8=,True,1
1954584150,235457118,235460800,235457118.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,235460800.0,V8hLxnXTJ0ua3SyVjCt3D06uZ8sofMHU3NxVjS7k7Ay=,True,1
1953591936,149342012,60960976,149342012.0,5SwCiX83ldYP+vPwHvW8JH9+f5KFVxSbI0eFq+/i1Fu=,True,60960976.0,5SwCiX83ldYP+vPwHvW8JH9+f5KFVxSbI0eFq+/i1Fu=,True,1
1953591936,149342012,60960976,149342012.0,hhjn94kkVhAmap3oiuPWU39HcRoqko6Ctn2tZWoMnzg=,True,60960976.0,hhjn94kkVhAmap3oiuPWU39HcRoqko6Ctn2tZWoMnzg=,True,1
1953606990,234480766,26351380,234480766.0,/dBWgjx2NrZJPRS1ssSKynLoVqwoN19AQexwT1q8Quq=,True,26351380.0,/dBWgjx2NrZJPRS1ssSKynLoVqwoN19AQexwT1q8Quq=,True,1
1954118438,136220014,55418890,136220014.0,tAXXJipLm9X0sVaXRAu5xoV/Y1RlRdVWF3djnLgTPng=,True,55418890.0,tAXXJipLm9X0sVaXRAu5xoV/Y1RlRdVWF3djnLgTPng=,True,1
1955770282,234204716,147415630,234204716.0,NEYkoTqv0Fio5i/uXWTDMhp1TfdB14xRrsi/ZKneVuO=,True,147415630.0,NEYkoTqv0Fio5i/uXWTDMhp1TfdB14xRrsi/ZKneVuO=,True,1
1954334858,233231114,220633002,233231114.0,5beRii7r2wHcbG4xhPXdALf856308B+grYaR80cD5c0=,True,220633002.0,5beRii7r2wHcbG4xhPXdALf856308B+grYaR80cD5c0=,True,1
1954135512,147864436,222975070,147864436.0,Cuwr6pOA6fq0a4HXCi+MDNRtQBa4xnlQrr5LX6EOsmm=,True,222975070.0,Cuwr6pOA6fq0a4HXCi+MDNRtQBa4xnlQrr5LX6EOsmm=,True,1
1954135512,147864436,222975070,147864436.0,bMjPlcjjN7eAw0M75aAK1CyrnDyUUdyKAvwIRpFhs3u=,True,222975070.0,bMjPlcjjN7eAw0M75aAK1CyrnDyUUdyKAvwIRpFhs3u=,True,1
1954135512,147864436,222975070,147864436.0,etOkCx1lWrY49giVUb+SAhJYqaS2NRpru2cRIKsIJvq=,True,222975070.0,etOkCx1lWrY49giVUb+SAhJYqaS2NRpru2cRIKsIJvq=,True,1
1954135512,147864436,222975070,147864436.0,oSyoTN5PEg0uB6zm8VXTclZjpiWqTqVcSvg90wmU+TA=,True,222975070.0,oSyoTN5PEg0uB6zm8VXTclZjpiWqTqVcSvg90wmU+TA=,True,1
1956069824,228586386,150947486,228586386.0,j76ZDJS7nV21K0lDshi/i5Z8bh9U1gnM1UsMkKMkBGy=,True,150947486.0,j76ZDJS7nV21K0lDshi/i5Z8bh9U1gnM1UsMkKMkBGy=,True,1
1953887512,229218318,33651248,229218318.0,pb0VT/KMZp2LU9WnE2UYMafvtD/hbb63bJo7RuW2aZ0=,True,33651248.0,pb0VT/KMZp2LU9WnE2UYMafvtD/hbb63bJo7RuW2aZ0=,True,1
1955383612,37315364,175958894,37315364.0,4YrS9gfGImGsAw0wfHwbUBGZ+0kKrjl1JW3d2BNkDQg=,True,175958894.0,4YrS9gfGImGsAw0wfHwbUBGZ+0kKrjl1JW3d2BNkDQg=,True,1
1954926680,40831792,15853332,40831792.0,WquN8/hbZrrE401nmGTX3blxc5dQUEcvW9vWpeXeI+S=,True,15853332.0,WquN8/hbZrrE401nmGTX3blxc5dQUEcvW9vWpeXeI+S=,True,1
1955597626,175581274,123961640,175581274.0,SgXy7CTjATxFacpXvmEzuDrBC/J6lAPWmn8tgVHNa4W=,True,123961640.0,SgXy7CTjATxFacpXvmEzuDrBC/J6lAPWmn8tgVHNa4W=,True,1
1955908154,198518630,25098278,198518630.0,L39R4mLcfX4Zvx8r31svXWZtKJyKWqDSqT4a5Us0boW=,True,25098278.0,L39R4mLcfX4Zvx8r31svXWZtKJyKWqDSqT4a5Us0boW=,True,1
1956353642,112909776,8044872,112909776.0,oXkO3X6XaHMKIiFNz+C6EfLUB9liRYVGx85GsCVGCpy=,True,8044872.0,oXkO3X6XaHMKIiFNz+C6EfLUB9liRYVGx85GsCVGCpy=,True,1
1956666682,231410894,77354928,231410894.0,342x7xdtyNloASDhu7M0fB9xxtpFerC/HMMJLRSrjcO=,True,77354928.0,342x7xdtyNloASDhu7M0fB9xxtpFerC/HMMJLRSrjcO=,True,1
1956666682,231410894,77354928,231410894.0,WCmvlzeF2vaOHUmH/tKNgpRuWE6VLiJNRnSssr8mvbI=,True,77354928.0,WCmvlzeF2vaOHUmH/tKNgpRuWE6VLiJNRnSssr8mvbI=,True,1
1955487774,69915664,234337736,69915664.0,VX/jyB3n5iW+3PKIVVSTFjkPAYdHg82cCkLq8s07NLK=,True,234337736.0,VX/jyB3n5iW+3PKIVVSTFjkPAYdHg82cCkLq8s07NLK=,True,1
1954889864,113816424,12656106,113816424.0,GauVQHx4XwA3njiLUfvGSYpCPkl35mhfIdun1X4KsQA=,True,12656106.0,GauVQHx4XwA3njiLUfvGSYpCPkl35mhfIdun1X4KsQA=,True,1
1953837704,232718332,27250450,232718332.0,7rzlNIaHp9IsLKCIr7SIGvdkRJufMYukRWtxCPLnETc=,True,27250450.0,7rzlNIaHp9IsLKCIr7SIGvdkRJufMYukRWtxCPLnETc=,True,1
1955038186,37391728,30626054,37391728.0,QL6RtARaPYGobW6HBaNGXoJuqH2KkIvr0mFitbmTY7A=,True,30626054.0,QL6RtARaPYGobW6HBaNGXoJuqH2KkIvr0mFitbmTY7A=,True,1
1954696054,57355358,228510618,57355358.0,qZuBysx1/xPi6JhLD08h9KV+j0VwhCHCcbFt9K6Ih6S=,True,228510618.0,qZuBysx1/xPi6JhLD08h9KV+j0VwhCHCcbFt9K6Ih6S=,True,1
